GroupID|MedicineName|MedicineCompany|ActiveSubstance|AdditionalContent|Unit|MedicineType|Prize|Details
Cancer-General|Isac|Systopic|Isotretinoin|10|10|Isac CAP|77.5|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isac|Systopic|Isotretinoin|20|10|Isac CAP|108.5|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isinin|Rowan Bioceuticals|Isotretinoin|20|10|Isinin CAP|135|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isobest|Glenmark|Isotretinoin|20|10|Isobest CAP|120.45|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isoderma|Dr. Derma|Isotretinoin|10|10|Isoderma TAB||Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isofect|Medis Lab|Isotretinoin|20|10|Isofect CAP|140|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isonik|Nik HC|Isotretinoin|10|10|Isonik CAP||Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isonion|Articon Labs|Isotretinoin|20|10|Isonion CAP|139|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isotane|Micro Gratia|Isotretinoin|10|10|Isotane SG-CAP|87|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Isotroin|Cipla|Isotretinoin|10|10|Isotroin CAP|94|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
Cancer-General|Neutin|Zee Lab|Isotretinoin|20|15|Neutin-20 CAP|218|Isotretinoin(generic)Isotretinoin is a medication used for the treatment of moderate to severe acne.It was first developed to be used as a chemotherapy medication for the treatmentof brain cancer, pancreatic cancer and more. It is still used in the treatmentof these cancers to this day because of its ability to kill rapidly dividingcells. The effects of the medication are systemic and non-selective. In somecases, it is used to treat Harlequin type ichthyosis, a usually lethal skindeformation in which sufferers develop armor plated-like skin and usually diesoon after birth. It is a retinoid, meaning it derives from vitamin A and isfound in small quantities naturally in the body. 
